Date,"User loss (All users, All events, Per interval, Daily): All countries / regions","User loss (All users, All events, Per interval, Daily): South Africa","User loss (All users, All events, Per interval, Daily): United States","User loss (All users, All events, Per interval, Daily): United Kingdom","User loss (All users, All events, Per interval, Daily): Netherlands",Notes
"Jan 1, 2017",0,0,0,0,0,
"Jan 2, 2017",0,0,0,0,0,
"Jan 3, 2017",0,0,0,0,0,
"Jan 4, 2017",0,0,0,0,0,
"Jan 5, 2017",0,0,0,0,0,
"Jan 6, 2017",0,0,0,0,0,
"Jan 7, 2017",0,0,0,0,0,
"Jan 8, 2017",0,0,0,0,0,
"Jan 9, 2017",0,0,0,0,0,
"Jan 10, 2017",0,0,0,0,0,
"Jan 11, 2017",0,0,0,0,0,
"Jan 12, 2017",0,0,0,0,0,
"Jan 13, 2017",0,0,0,0,0,
"Jan 14, 2017",0,0,0,0,0,
"Jan 15, 2017",0,0,0,0,0,
"Jan 16, 2017",0,0,0,0,0,
"Jan 17, 2017",0,0,0,0,0,
"Jan 18, 2017",0,0,0,0,0,
"Jan 19, 2017",0,0,0,0,0,
"Jan 20, 2017",0,0,0,0,0,
"Jan 21, 2017",0,0,0,0,0,
"Jan 22, 2017",0,0,0,0,0,
"Jan 23, 2017",0,0,0,0,0,
"Jan 24, 2017",0,0,0,0,0,
"Jan 25, 2017",0,0,0,0,0,
"Jan 26, 2017",0,0,0,0,0,
"Jan 27, 2017",0,0,0,0,0,
"Jan 28, 2017",0,0,0,0,0,
"Jan 29, 2017",0,0,0,0,0,
"Jan 30, 2017",1,1,0,0,0,
"Jan 31, 2017",0,0,0,0,0,
"Feb 1, 2017",1,1,0,0,0,
"Feb 2, 2017",0,0,0,0,0,
"Feb 3, 2017",1,1,0,0,0,
"Feb 4, 2017",0,0,0,0,0,
"Feb 5, 2017",0,0,0,0,0,
"Feb 6, 2017",0,0,0,0,0,
"Feb 7, 2017",0,0,0,0,0,
"Feb 8, 2017",0,0,0,0,0,
"Feb 9, 2017",0,0,0,0,0,
"Feb 10, 2017",0,0,0,0,0,
"Feb 11, 2017",0,0,0,0,0,
"Feb 12, 2017",0,0,0,0,0,
"Feb 13, 2017",0,0,0,0,0,
"Feb 14, 2017",0,0,0,0,0,
"Feb 15, 2017",0,0,0,0,0,
"Feb 16, 2017",0,0,0,0,0,
"Feb 17, 2017",0,0,0,0,0,
"Feb 18, 2017",0,0,0,0,0,
"Feb 19, 2017",0,0,0,0,0,
"Feb 20, 2017",0,0,0,0,0,
"Feb 21, 2017",0,0,0,0,0,
"Feb 22, 2017",0,0,0,0,0,
"Feb 23, 2017",0,0,0,0,0,
"Feb 24, 2017",0,0,0,0,0,
"Feb 25, 2017",0,0,0,0,0,
"Feb 26, 2017",0,0,0,0,0,
"Feb 27, 2017",0,0,0,0,0,
"Feb 28, 2017",0,0,0,0,0,
"Mar 1, 2017",0,0,0,0,0,
"Mar 2, 2017",0,0,0,0,0,
"Mar 3, 2017",0,0,0,0,0,
"Mar 4, 2017",0,0,0,0,0,
"Mar 5, 2017",0,0,0,0,0,
"Mar 6, 2017",0,0,0,0,0,
"Mar 7, 2017",0,0,0,0,0,
"Mar 8, 2017",1,1,0,0,0,
"Mar 9, 2017",0,0,0,0,0,
"Mar 10, 2017",0,0,0,0,0,
"Mar 11, 2017",0,0,0,0,0,
"Mar 12, 2017",0,0,0,0,0,
"Mar 13, 2017",0,0,0,0,0,
"Mar 14, 2017",0,0,0,0,0,
"Mar 15, 2017",0,0,0,0,0,
"Mar 16, 2017",0,0,0,0,0,
"Mar 17, 2017",0,0,0,0,0,
"Mar 18, 2017",0,0,0,0,0,
"Mar 19, 2017",0,0,0,0,0,
"Mar 20, 2017",0,0,0,0,0,
"Mar 21, 2017",0,0,0,0,0,
"Mar 22, 2017",0,0,0,0,0,
"Mar 23, 2017",0,0,0,0,0,
"Mar 24, 2017",0,0,0,0,0,
"Mar 25, 2017",0,0,0,0,0,
"Mar 26, 2017",0,0,0,0,0,
"Mar 27, 2017",0,0,0,0,0,
"Mar 28, 2017",1,1,0,0,0,
"Mar 29, 2017",0,0,0,0,0,
"Mar 30, 2017",0,0,0,0,0,
"Mar 31, 2017",0,0,0,0,0,
"Apr 1, 2017",0,0,0,0,0,
"Apr 2, 2017",0,0,0,0,0,
"Apr 3, 2017",0,0,0,0,0,
"Apr 4, 2017",0,0,0,0,0,
"Apr 5, 2017",0,0,0,0,0,
"Apr 6, 2017",0,0,0,0,0,
"Apr 7, 2017",0,0,0,0,0,
"Apr 8, 2017",0,0,0,0,0,
"Apr 9, 2017",0,0,0,0,0,
"Apr 10, 2017",0,0,0,0,0,
"Apr 11, 2017",0,0,0,0,0,
"Apr 12, 2017",0,0,0,0,0,
"Apr 13, 2017",0,0,0,0,0,
"Apr 14, 2017",0,0,0,0,0,
"Apr 15, 2017",0,0,0,0,0,
"Apr 16, 2017",0,0,0,0,0,
"Apr 17, 2017",0,0,0,0,0,
"Apr 18, 2017",0,0,0,0,0,
"Apr 19, 2017",0,0,0,0,0,
"Apr 20, 2017",0,0,0,0,0,
"Apr 21, 2017",0,0,0,0,0,
"Apr 22, 2017",0,0,0,0,0,
"Apr 23, 2017",0,0,0,0,0,
"Apr 24, 2017",0,0,0,0,0,
"Apr 25, 2017",0,0,0,0,0,
"Apr 26, 2017",0,0,0,0,0,
"Apr 27, 2017",0,0,0,0,0,
"Apr 28, 2017",0,0,0,0,0,
"Apr 29, 2017",0,0,0,0,0,
"Apr 30, 2017",0,0,0,0,0,
"May 1, 2017",0,0,0,0,0,
"May 2, 2017",0,0,0,0,0,
"May 3, 2017",0,0,0,0,0,
"May 4, 2017",0,0,0,0,0,
"May 5, 2017",0,0,0,0,0,
"May 6, 2017",0,0,0,0,0,
"May 7, 2017",0,0,0,0,0,
"May 8, 2017",0,0,0,0,0,
"May 9, 2017",0,0,0,0,0,
"May 10, 2017",0,0,0,0,0,
